account_id,customer_id,account_type,balance
1,45,Savings,1000.50
2,12,Checking,2500.75
3,78,Savings,1500.00
4,34,Checking,3000.25
5,56,Savings,500.00
6,23,Checking,1200.50
7,89,Savings,800.75
8,67,Checking,2200.00
9,14,Savings,900.25
10,92,Checking,1800.50
11,3,Savings,1100.75
12,81,Checking,2700.00
13,29,Savings,1300.25
14,64,Checking,3200.50
15,47,Savings,700.75
16,18,Checking,1400.00
17,99,Savings,600.25
18,5,Checking,1600.50
19,76,Savings,400.75
20,21,Checking,2000.00
21,53,Savings,300.25
22,37,Checking,2400.50
23,88,Savings,200.75
24,11,Checking,2600.00
25,66,Savings,100.25
26,25,Checking,2800.50
27,94,Savings,50.75
28,7,Checking,2900.00
29,58,Savings,75.25
30,32,Checking,3100.50
31,71,Savings,125.75
32,9,Checking,3300.00
33,85,Savings,150.25
