transaction_id,account_id,transaction_date,transaction_amount,transaction_type
34,41,2024-02-03,300.25,Withdrawal
35,62,2024-02-04,250.00,Deposit
36,27,2024-02-05,175.00,Withdrawal
37,98,2024-02-06,225.50,Deposit
38,15,2024-02-07,275.75,Withdrawal
39,74,2024-02-08,325.00,Deposit
40,19,2024-02-09,375.25,Withdrawal
41,51,2024-02-10,100.50,Deposit
42,36,2024-02-11,200.75,Withdrawal
43,83,2024-02-12,150.00,Deposit
44,13,2024-02-13,300.25,Withdrawal
45,68,2024-02-14,250.00,Deposit
46,24,2024-02-15,175.00,Withdrawal
47,95,2024-02-16,225.50,Deposit
48,6,2024-02-17,275.75,Withdrawal
49,57,2024-02-18,325.00,Deposit
50,31,2024-02-19,375.25,Withdrawal
51,72,2024-02-20,100.50,Deposit
52,10,2024-02-21,200.75,Withdrawal
53,86,2024-02-22,150.00,Deposit
54,42,2024-02-23,300.25,Withdrawal
55,63,2024-02-24,250.00,Deposit
56,28,2024-02-25,175.00,Withdrawal
57,97,2024-02-26,225.50,Deposit
58,16,2024-02-27,275.75,Withdrawal
59,75,2024-02-28,325.00,Deposit
60,20,2024-02-29,375.25,Withdrawal
61,52,2024-03-01,100.50,Deposit
62,35,2024-03-02,200.75,Withdrawal
63,84,2024-03-03,150.00,Deposit
64,12,2024-03-04,300.25,Withdrawal
65,69,2024-03-05,250.00,Deposit
66,26,2024-03-06,175.00,Withdrawal
