payment_id,loan_id,payment_date,payment_amount
67,38,2024-03-07,3400.00
68,49,2024-03-08,3450.00
69,60,2024-03-09,3500.00
70,71,2024-03-10,3550.00
71,82,2024-03-11,3600.00
72,93,2024-03-12,3650.00
73,4,2024-03-13,3700.00
74,15,2024-03-14,3750.00
75,26,2024-03-15,3800.00
76,37,2024-03-16,3850.00
77,48,2024-03-17,3900.00
78,59,2024-03-18,3950.00
79,70,2024-03-19,4000.00
80,81,2024-03-20,4050.00
81,92,2024-03-21,4100.00
82,3,2024-03-22,4150.00
83,14,2024-03-23,4200.00
84,25,2024-03-24,4250.00
85,36,2024-03-25,4300.00
86,47,2024-03-26,4350.00
87,58,2024-03-27,4400.00
88,69,2024-03-28,4450.00
89,80,2024-03-29,4500.00
90,91,2024-03-30,4550.00
91,2,2024-03-31,4600.00
92,13,2024-04-01,4650.00
93,24,2024-04-02,4700.00
94,35,2024-04-03,4750.00
95,46,2024-04-04,4800.00
96,57,2024-04-05,4850.00
97,68,2024-04-06,4900.00
98,79,2024-04-07,4950.00
99,1,2024-04-08,5000.00
100,33,2024-04-10,1000.00
