loan_id,customer_id,loan_amount,interest_rate,loan_term
67,96,22500.75,6.0,60
68,8,27500.00,3.5,24
69,59,32500.25,5.0,36
70,33,37500.50,4.0,48
71,73,10000.75,6.5,60
72,17,20000.00,3.0,24
73,87,15000.25,5.5,36
74,43,30000.50,4.5,48
75,61,25000.75,6.0,60
76,22,17500.00,3.5,24
77,91,22500.25,5.0,36
78,4,27500.50,4.0,48
79,55,32500.75,6.5,60
80,30,37500.00,3.0,24
81,70,10000.25,5.5,36
82,2,20000.50,4.5,48
83,82,15000.75,6.0,60
84,40,30000.00,3.5,24
85,65,25000.25,5.0,36
86,21,17500.50,4.0,48
87,93,22500.75,6.5,60
88,1,27500.00,3.0,24
89,54,32500.25,5.5,36
90,38,37500.50,4.5,48
91,77,10000.75,6.0,60
92,44,20000.00,3.5,24
93,79,15000.25,5.0,36
94,39,30000.50,4.0,48
95,60,25000.75,6.5,60
96,48,17500.00,3.0,24
97,90,22500.25,5.5,36
98,49,27500.50,4.5,48
99,80,32500.75,6.0,60
100,50,37500.00,3.5,24
